kubectl get | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:allow-missing-template-keys:boolean, chunk-size:string, field-selector:string, filename(-f):string, ignore-not-found:boolean, kustomize(-k):string, no-headers:boolean, output(-o):string, output-watch-events:boolean, raw:string, recursive(-R):boolean, selector(-l):string, show-labels:boolean, sort-by:string, subresource:string, watch(-w):boolean, watch-only:boolean | all_flags_for_command:all-namespaces(-A):boolean, allow-missing-template-keys:boolean, chunk-size:string, field-selector:string, filename(-f):string, ignore-not-found:boolean, kustomize(-k):string, namespace(-n):string, no-headers:boolean, output(-o):string, output-watch-events:boolean, raw:string, recursive(-R):boolean, selector(-l):string, show-labels:boolean, sort-by:string, subresource:string, watch(-w):boolean, watch-only:boolean
kubectl label | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:overwrite:boolean | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string, overwrite:boolean
kubectl logs | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:container(-c):string, follow(-f):boolean, previous(-p):boolean, selector(-l):string, since:string, tail:string | all_flags_for_command:all-namespaces(-A):boolean, container(-c):string, follow(-f):boolean, namespace(-n):string, previous(-p):boolean, selector(-l):string, since:string, tail:string
kubectl options | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:none | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string
kubectl patch | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:patch(-p):string, type:enum{merge} | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string, patch(-p):string, type:enum{merge}
kubectl replace | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:filename(-f):string, force:boolean | all_flags_for_command:all-namespaces(-A):boolean, filename(-f):string, force:boolean, namespace(-n):string
kubectl rollout | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:none | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string
kubectl rollout history | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:revision:string | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string, revision:string
kubectl rollout restart | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:none | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string
kubectl rollout status | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:timeout:string, watch:string | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string, timeout:string, watch:string
kubectl rollout undo | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:revision:string, to-revision:string | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string, revision:string, to-revision:string
kubectl run | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:command:boolean, dry-run:enum{none,server,client}, env:string[], image:string, labels:string, output(-o):string, port:string, restart:string, rm:boolean, stdin(-i):boolean, tty(-t):boolean | all_flags_for_command:all-namespaces(-A):boolean, command:boolean, dry-run:enum{none,server,client}, env:string[], image:string, labels:string, namespace(-n):string, output(-o):string, port:string, restart:string, rm:boolean, stdin(-i):boolean, tty(-t):boolean
kubectl scale | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:replicas:string | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string, replicas:string
kubectl set | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:none | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string
kubectl set image | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:none | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string
kubectl top | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:none | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string
kubectl top node | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:selector(-l):string | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string, selector(-l):string
kubectl top nodes | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:selector(-l):string | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string, selector(-l):string
kubectl top pod | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:selector(-l):string | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string, selector(-l):string
kubectl top pods | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:selector(-l):string | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string, selector(-l):string
kubectl version | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:client:boolean, output(-o):string | all_flags_for_command:all-namespaces(-A):boolean, client:boolean, namespace(-n):string, output(-o):string
kubectl wait | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:for:string, timeout:string | all_flags_for_command:all-namespaces(-A):boolean, for:string, namespace(-n):string, timeout:string
bash cat | parser_flags:long(--name) bool, short(-abc) decomposed bool, aucun flag a valeur au parseur shell | effective_flags:none | notes:none
bash cd | parser_flags:long(--name) bool, short(-abc) decomposed bool, aucun flag a valeur au parseur shell | effective_flags:none | notes:none
bash clear | parser_flags:long(--name) bool, short(-abc) decomposed bool, aucun flag a valeur au parseur shell | effective_flags:none | notes:none
bash curl | parser_flags:long(--name) bool, short(-abc) decomposed bool, aucun flag a valeur au parseur shell | effective_flags:none | notes:handler cherche --url ou URL positionnelle dans args, parseur retire les tokens flags des args
